,title,author,publication_year,format,current_price,original_price
0,How to Paint Without a Brush,Red Hong Yi,2023,Hardback,31.32,35.0
1,Atomic Habits,James Clear,2018,Paperback,19.63,21.67
2,The Letters I Will Never Send,Isabella Dorta,2023,Paperback,16.16,18.06
3,Young Forever,Mark Hyman,2023,Paperback,15.97,20.47
5,UPROAR!,Alice Loxton,2023,Hardback,26.95,30.12
7,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,2016,Paperback,9.98,11.1
8,Final Offer,Lauren Asher,2023,Paperback,11.58,12.03
9,Before the Coffee Gets Cold,Toshikazu Kawaguchi,2019,Paperback,11.07,12.03
10,The Body Keeps the Score,Bessel van der Kolk,2015,Paperback,15.36,15.65
11,The Parenting Map,Dr Shefali Tsabary,2023,Paperback,18.32,20.47
13,Things We Never Got Over,Lucy Score,2022,Paperback,10.46,10.83
14,The Fine Print,Lauren Asher,2022,Paperback,10.85,12.03
16,Twisted Love,Ana Huang,2022,Paperback,10.38,12.03
18,Verity,Colleen Hoover,2022,Paperback,10.54,10.83
19,The Psychology of Money,Morgan Housel,2020,Paperback,15.04,18.99
20,I Don't Need Therapy,Toni Lodge,2023,Paperback,20.09,22.45
21,Twisted Games,Ana Huang,2022,Paperback,10.89,12.03
22,Me vs Brain,Hayley Morris,2023,Hardback,20.47,22.88
23,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mo Xiang Tong Xiu,2022,Paperback,18.71,19.99
24,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,2019,Hardback,20.13,20.47
25,Terms and Conditions,Lauren Asher,2022,Paperback,11.66,12.03
26,The Daily Stoic,Ryan Holiday,2017,Paperback,11.65,13.24
27,Spare,Prince Harry the Duke of Sussex,2023,Hardback,24.28,33.73
28,Foster,Claire Keegan,2022,Paperback,9.3,10.83
29,Small Things Like These,Claire Keegan,2022,Paperback,9.59,10.83
30,Strong Female Character,Fern Brady,2023,Hardback,17.1,20.47
31,The Adventure Zone: The Eleventh Hour,Clint McElroy,2023,Paperback,19.02,19.99
32,Twisted Hate,Ana Huang,2022,Paperback,11.26,12.03
33,Twisted Lies,Ana Huang,2022,Paperback,11.5,12.03
35,The Kindness Method,Shahroo Izadi,2021,Paperback,10.17,12.03
36,Loss,Donna Ashworth,2022,Hardback,9.72,16.99
