,title,author,publication_date,format,current_price,original_price
0,Me vs Brain,Hayley Morris,16 Mar 2023,Hardback,US$21.31,US$22.90
1,Atomic Habits,James Clear,27 Nov 2018,Paperback,US$19.65,US$21.70
2,The Letters I Will Never Send,Isabella Dorta,16 Mar 2023,Paperback,US$16.18,US$18.08
3,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,02 Aug 2016,Paperback,US$9.99,US$11.10
4,Final Offer,Lauren Asher,31 Jan 2023,Paperback,US$11.59,US$12.05
5,The Creative Act,Rick Rubin,17 Jan 2023,Hardback,,
6,The Body Keeps the Score,Bessel van der Kolk,24 Sep 2015,Paperback,US$15.38,US$15.67
7,The Psychology of Money,Morgan Housel,08 Sep 2020,Paperback,US$16.23,US$18.99
8,Icebreaker,Hannah Grace,19 Jan 2023,Paperback,US$10.25,US$10.84
9,Timeless Textured Baby Crochet,Vita Apala,18 Apr 2023,Paperback,US$22.37,US$24.99
10,Verity,Colleen Hoover,20 Jan 2022,Paperback,US$8.89,US$10.84
11,The Midnight Library,Matt Haig,18 Feb 2021,Paperback,US$9.75,US$10.84
12,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,14 Oct 2021,Paperback,US$10.08,US$10.84
13,Before the Coffee Gets Cold,Toshikazu Kawaguchi,19 Sep 2019,Paperback,US$11.08,US$12.05
14,UPROAR!,Alice Loxton,02 Mar 2023,Hardback,US$26.99,US$30.15
15,The Fine Print,Lauren Asher,27 Jan 2022,Paperback,US$10.86,US$12.05
16,The Mini ADHD Coach,Alice Gendron,27 Jul 2023,Hardback,US$18.34,US$20.49
17,The Reverse Coloring Book (R),Kendra Norton,31 Aug 2021,Paperback,US$13.15,US$14.95
18,Things We Never Got Over,Lucy Score,14 Jul 2022,Paperback,US$10.47,US$10.84
19,Twisted Love,Ana Huang,05 May 2022,Paperback,US$10.40,US$12.05
20,Things We Hide From The Light,Lucy Score,21 Feb 2023,Paperback,US$13.92,
21,Small Things Like These,Claire Keegan,03 Nov 2022,Paperback,US$9.61,US$10.84
22,Glucose Revolution,Jessie Inchauspe,31 Mar 2022,Paperback,US$15.28,US$20.49
23,12 Rules for Life,Jordan B. Peterson,07 May 2019,Paperback,US$13.02,US$13.26
24,Bored of Lunch: The Healthy Slow Cooker Book,Nathan Anthony,05 Jan 2023,Hardback,US$23.39,
25,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mo Xiang Tong Xiu,20 Dec 2022,Paperback,US$18.64,US$19.99
26,I Don't Need Therapy,Toni Lodge,28 Feb 2023,Paperback,US$20.42,US$22.82
27,Chain of Thorns,Cassandra Clare,01 Feb 2023,Hardback,US$30.55,
28,Terms and Conditions,Lauren Asher,17 Mar 2022,Paperback,US$11.12,US$12.05
29,The One Thing,Gary Keller,10 May 2016,Paperback,US$9.73,US$13.26
30,Women Who Run with the Wolves,Clarissa Pinkola Estes,01 Jan 1997,Paperback,US$11.03,
31,Four Thousand Weeks,Oliver Burkeman,07 Apr 2022,Paperback,US$12.20,US$13.26
32,The Science of Stuck: Breaking Through Inertia to Find Your Path Forward,Britt Frank,22 Mar 2022,Paperback,US$14.10,US$18.08
33,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Special Edition),Mo Xiang Tong Xiu;,02 May 2023,Paperback,US$24.16,US$26.99
34,The Silent Patient,Alex Michaelides,15 Jan 2020,Paperback,US$9.03,US$10.84
35,Manifest,Roxie Nafousi,06 Jan 2022,Hardback,US$18.14,US$20.49
36,Age Proof,Professor Rose Anne Kenny,11 Jul 2023,Paperback,US$10.38,US$17.99
37,The Daily Stoic,Ryan Holiday,03 Jan 2017,Paperback,US$11.67,US$13.26
38,The Untethered Soul,Michael A. Singer,07 Nov 2007,Paperback,US$13.58,US$18.95
39,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,19 Jan 2023,Hardback,US$20.23,
40,Twisted Games,Ana Huang,05 May 2022,Paperback,US$10.91,US$12.05
41,The Secret History,Donna Tartt,01 Jul 1995,Paperback,US$13.19,US$14.22
42,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,04 Nov 2019,Hardback,US$20.15,US$20.49
43,Where the Crawdads Sing,Delia Owens,20 Dec 2019,Paperback,US$9.86,US$12.05
44,A Man Called Ove,Fredrik Backman,07 May 2015,Paperback,US$8.85,US$10.84
45,Never Split the Difference,Chris Voss,23 Mar 2017,Paperback,US$12.20,US$13.26
46,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 2,Rou Bao Bu Chi Rou,24 Jan 2023,Paperback,US$19.81,
47,Climate,Whitney Hanson,10 Nov 2022,Paperback,US$16.20,US$16.99
48,Heaven Official's Blessing,Mo Xiang Tong Xiu,14 Dec 2021,Paperback,US$17.43,US$19.99
49,Once Upon A Broken Heart,Stephanie Garber,30 Jun 2022,Paperback,US$10.15,US$10.84
50,Twisted Lies,Ana Huang,01 Aug 2022,Paperback,US$11.51,US$12.05
51,Everything I Know About Love,Dolly Alderton,07 Feb 2019,Paperback,US$12.66,US$13.26
52,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4,Mo Xiang Tong Xiu,13 Dec 2022,Paperback,US$17.73,US$19.99
53,The Natural Order of Money,Roy Sebag,12 Dec 2022,Hardback,US$18.10,
54,Spare,Prince Harry the Duke of Sussex,10 Jan 2023,Hardback,US$23.24,US$33.77
55,Attached,Amir Levine,22 Aug 2019,Paperback,US$12.33,US$13.26
56,"Vagabond (VIZBIG Edition), Vol. 3",Takehiko Inoue,11 Sep 2014,Paperback,US$23.78,
57,Start With Why,Simon Sinek,11 Oct 2011,Paperback,US$11.17,US$21.75
58,"Thinking, Fast and Slow",Daniel Kahneman,24 May 2012,Paperback,US$15.14,US$20.25
59,Meditations,Marcus Aurelius,17 Nov 2015,Paperback,US$10.66,US$11.00
60,When the Body Says No,Gabor Maté,03 Jan 2019,Paperback,US$14.08,US$15.67
61,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4,Mo Xiang Tong Xiu,20 Sep 2022,Paperback,US$18.14,US$19.99
62,The Song of Achilles,Madeline Miller,21 Sep 2017,Paperback,US$11.60,US$12.05
63,Deep Work,Cal Newport,05 Jan 2016,Paperback,US$14.22,US$18.08
64,Daisy Jones and The Six,Taylor Jenkins Reid,09 Jan 2020,Paperback,US$11.94,
65,Ugly Love,Colleen Hoover,21 Jan 2016,Paperback,US$9.81,US$13.00
66,Gothikana: A Dark Academia Gothic Romance: TikTok Made Me Buy it!,RuNyx,16 Mar 2023,Paperback,US$12.94,
67,Twisted Hate,Ana Huang,05 May 2022,Paperback,US$11.27,US$12.05
68,All About Love,Bell Hooks,30 Jan 2018,Paperback,US$12.32,US$16.99
