,title,author,current_price
0,How to Paint Without a Brush,Red Hong Yi,31.32
2,The Letters I Will Never Send,Isabella Dorta,16.16
3,Young Forever,Mark Hyman,15.97
5,UPROAR!,Alice Loxton,26.95
8,Final Offer,Lauren Asher,11.58
11,The Parenting Map,Dr Shefali Tsabary,18.32
13,Things We Never Got Over,Lucy Score,10.46
14,The Fine Print,Lauren Asher,10.85
16,Twisted Love,Ana Huang,10.38
18,Verity,Colleen Hoover,10.54
20,I Don't Need Therapy,Toni Lodge,20.09
21,Twisted Games,Ana Huang,10.89
22,Me vs Brain,Hayley Morris,20.47
23,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mo Xiang Tong Xiu,18.71
25,Terms and Conditions,Lauren Asher,11.66
27,Spare,Prince Harry the Duke of Sussex,24.28
28,Foster,Claire Keegan,9.3
29,Small Things Like These,Claire Keegan,9.59
30,Strong Female Character,Fern Brady,17.1
31,The Adventure Zone: The Eleventh Hour,Clint McElroy,19.02
32,Twisted Hate,Ana Huang,11.26
33,Twisted Lies,Ana Huang,11.5
36,Loss,Donna Ashworth,9.72
42,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Special Edition),Mo Xiang Tong Xiu;,24.16
43,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4,Mo Xiang Tong Xiu,17.61
46,Rethink Your Position,Katy Bowman,17.86
47,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4,Mo Xiang Tong Xiu,18.12
48,The Invisible Life of Addie LaRue - Illustrated edition,V.E. Schwab,21.19
49,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 2,Rou Bao Bu Chi Rou,19.78
53,Glucose Revolution,Jessie Inchauspe,15.26
54,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Mo Xiang Tong Xiu,15.42
57,"Sasaki and Miyano, Vol. 7",Shou Harusono,11.39
59,Magnolia Parks,Jessa Hastings,14.43
63,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,Mo Xiang Tong Xiu,17.89
70,Manifest,Roxie Nafousi,18.12
73,Daisy Haites: The Great Undoing,Jessa Hastings,14.22
75,Young Forever,Dr Mark Hyman,28.44
77,Better Than the Movies,Lynn Painter,10.33
78,Daisy Haites,Jessa Hastings,14.77
82,Dopamine Nation,Dr Anna Lembke,10.24
83,King of Wrath,Ana Huang,10.62
90,How to Meet Your Self,Nicole LePera,20.11
93,The Hurting Kind,Ada Limon,12.32
102,I Wish I Knew,Donna Ashworth,10.79
103,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,14.77
108,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Manhua) Vol. 1,Mo Xiang Tong Xiu,17.89
109,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 3,Mo Xiang Tong Xiu,16.39
111,Once Upon A Broken Heart,Stephanie Garber,10.67
114,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1,Rou Bao Bu Chi Rou,17.2
115,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,Mo Xiang Tong Xiu,17.89
122,Conversations on Love,Natasha Lunn,12.38
123,Una Luz En La Llama,Jennifer Armentrout,19.62
125,The Herbal Astrology Oracle,Adriana Ayales,17.13
128,"The Angel Next Door Spoils Me Rotten, Vol. 5 (light novel)",Saekisan,13.06
129,Cold Enough for Snow,Jessica Au,12.05
131,The Mysteries,Bill Watterson,17.89
133,The Science of Stuck: Breaking Through Inertia to Find Your Path Forward,Britt Frank,14.09
136,You Hung the Moon,Jessica Urlichs,16.1
139,Thousand Autumns: Qian Qiu (Novel) Vol. 1,Meng Xi Shi,17.89
142,"Toilet-bound Hanako-kun, Vol. 17",Aidalro,10.57
144,Reminders of Him,Colleen Hoover,12.63
149,How the World Really Works,Vaclav Smil,12.44
153,Two Weeks Notice,Amy Porterfield,21.39
156,The World According to Kaleb,Kaleb Cooper,17.96
157,Leviathan Falls,James S. A. Corey,12.09
160,Can't Not Won't,Eliza Fricker,16.68
170,Blue Lock 5,Muneyuki Kaneshiro,12.15
172,Stolen Focus,Johann Hari,12.91
173,Heaven,Mieko Kawakami,10.74
178,ADHD 2.0,Edward M. Hallowell,13.68
181,Hirano and Kagiura (novel),Shou Harusono,13.0
182,Queen K,Sarah Thomas,14.42
183,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Mo Xiang Tong Xiu,15.94
192,A Pilgrim's Guide to the Camino De Santiago,John Brierley,23.28
194,Ramadan Reflections,Aliyah Umm Raiyaan,14.01
195,AMYGDALA,Sam Fennah,71.35
196,Life,Donna Ashworth,9.72
198,Persiana Everyday,Sabrina Ghayour,28.97
199,Batman/Superman: World's Finest Vol. 1,Mark Waid,24.13
202,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 3,Rou Bao Bu Chi Rou,17.89
214,I'm Glad My Mom Died,Jennette McCurdy,21.3
216,The Emotional Lives of Teenagers,Lisa Damour,15.28
218,Unmasking Autism,Devon Price,17.22
222,The Happiest Man on Earth,Eddie Jaku,11.9
225,The Happiness Trap 2nd Edition,Russ Harris,13.15
228,Freezing Order,Bill Browder,11.69
232,The Island of Missing Trees,Elif Shafak,11.77
237,Remnants of Filth: Yuwu (Novel) Vol. 1,Rou Bao Bu Chi Rou,17.89
241,The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 2,Mo Xiang Tong Xiu,15.3
244,Archer's Voice,Mia Sheridan,14.37
246,Berserk Deluxe Volume 13,Kentaro Miura,47.52
249,All Your Perfects,Colleen Hoover,9.6
250,Kill For Me Kill For You,Steve Cavanagh,16.79
254,Love,Donna Ashworth,9.75
255,The Dangers of Smoking in Bed,Mariana Enriquez,9.04
260,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 4,Rou Bao Bu Chi Rou,17.89
261,The Scum Villains Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 4,Mo Xiang Tong Xiu,16.04
262,The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 3,Mo Xiang Tong Xiu,16.05
263,The Case Against the Sexual Revolution,L Perry,18.28
270,Klara and the Sun,Kazuo Ishiguro,11.57
279,The Comfort Book,Matt Haig,10.17
280,The Mini ADHD Coach,Alice Gendron,18.32
284,Brain Energy,Christopher M. Palmer,23.77
285,The Last Tale of the Flower Bride,Roshani Chokshi,16.91
286,I May Be Wrong,Bjoern Natthiko Lindeblad,10.18
292,It Starts with Us,Colleen Hoover,17.72
304,"Given, Vol. 7",Natsuki Kizu,12.17
307,Age Proof,Professor Rose Anne Kenny,10.37
309,Victory City,Salman Rushdie,25.45
313,My Dress-up Darling 7,Shinichi Fukuda,14.29
317,The Reverse Coloring Book (TM): Through the Seasons,Kendra Norton,11.85
322,Legends & Lattes,Travis Baldree,16.55
324,Totally Kosher,Chanie Apfelbaum,33.56
328,Every Summer After,Carley Fortune,9.49
329,Why Has Nobody Told Me This Before?,Dr Julie Smith,20.09
336,The Menopause,Deirdre Lundy,18.3
344,Notes on an Execution,Danya Kukafka,10.78
347,Between the Chalk and the Sea,Gail Simmons,20.92
359,The Origins of You,Vienna Pharaon,18.56
361,Metamorphosis,Franz Kafka,11.66
368,8 Rules of Love,Jay Shetty,22.8
371,"Komi Can't Communicate, Vol. 23",Tomohito Oda,9.45
382,"Love, Pamela",Pamela Anderson,18.45
384,Harry Potter and the Order of the Phoenix,J.K. Rowling,40.08
385,Loathe To Love You,Ali Hazelwood,10.72
389,A.x.e.: Judgment Day,Kieron Gillen,31.22
397,It's OK To Be Angry About Capitalism,Bernie Sanders,24.67
398,The Complete Guide to Memory,Richard Restak,20.56
402,"Bungo Stray Dogs, Vol. 8 (light novel)",Kafka Asagiri,14.59
